Sentence|AE|Drug
Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.|seizure|cilastatin
Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.|seizure|imipenem
Gabapentin-induced mood changes with hypomanic features in adults.|hypomanic|Gabapentin
Gabapentin-induced mood changes with hypomanic features in adults.|mood changes|Gabapentin
We report two adults who received gabapentin (GBP) and subsequently developed behavioural side effects.|behavioural side effects|gabapentin
We report two adults who received gabapentin (GBP) and subsequently developed behavioural side effects.|behavioural side effects|GBP
Acute pancreatitis in a child with idiopathic ulcerative colitis on long-term 5-aminosalicylic acid therapy.|Acute pancreatitis|5-aminosalicylic acid
We describe a 10-year-old boy with ulcerative colitis who developed acute pancreatitis while on long-term treatment with 5-aminosalicylic acid.|acute pancreatitis|5-aminosalicylic acid
CONCLUSION: Marked visual field constriction appears to be associated with vigabatrin therapy.|visual field constriction|vigabatrin
Electro-oculography, electroretinography, visual evoked potentials, and multifocal electroretinography in patients with vigabatrin-attributed visual field constriction.|visual field constriction|vigabatrin
PURPOSE: Symptomatic visual field constriction thought to be associated with vigabatrin has been reported.|visual field constriction|vigabatrin
The current study investigated the visual fields and visual electrophysiology of eight patients with known vigabatrin-attributed visual field loss, three of whom were reported previously.|visual field loss|vigabatrin
The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn.|field defects|vigabatrin
Depressive symptoms disappeared after interferon therapy was stopped.|Depressive symptoms|interferon
Treatment of chronic hepatitis C with interferon alpha (IFN-alpha) is relatively contraindicated in patients with psychiatric disorders because of possible severe psychiatric side effects.|psychiatric side effects|IFN-alpha
Treatment of chronic hepatitis C with interferon alpha (IFN-alpha) is relatively contraindicated in patients with psychiatric disorders because of possible severe psychiatric side effects.|psychiatric side effects|interferon alpha
While for ribavirin antidepressant effects are not known, we suppose that antidepressants may prevent changes in serotonergic or noradrenergic neurotransmission caused by IFN-alpha.|changes in serotonergic or noradrenergic neurotransmission|IFN-alpha
Intensive high-flux hemodiafiltration is often used in the management of vancomycin toxicity.|vancomycin toxicity|vancomycin
Management of hypophosphatemia induced by high-flux hemodiafiltration for the treatment of vancomycin toxicity: intravenous phosphorus therapy versus use of a phosphorus-enriched dialysate.|vancomycin toxicity|vancomycin
We describe 2 children with cerebral palsy who suffered significant morbidity immediately after treatment with hyperbaric oxygen.|morbidity|hyperbaric oxygen
A 33-year-old male presented with brown discolouration of the fingernails following the application of 4% hydroquinone in sorbolene cream and 0.1% tretinoin cream to the face intermittently for 9 months.|brown discolouration of the fingernails|0.1% tretinoin cream
A 33-year-old male presented with brown discolouration of the fingernails following the application of 4% hydroquinone in sorbolene cream and 0.1% tretinoin cream to the face intermittently for 9 months.|brown discolouration of the fingernails|4% hydroquinone in sorbolene cream
Nail staining from hydroquinone cream.|Nail staining|hydroquinone
Gangrene of the fingertips after bleomycin and methotrexate.|Gangrene|bleomycin
Gangrene of the fingertips after bleomycin and methotrexate.|Gangrene|methotrexate
This supports the well-reported potential of bleomycin to trigger acral vascular toxicity.|acral vascular toxicity|bleomycin
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.|acute digital ischemia|bleomycin
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.|acute digital ischemia|methotrexate
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.|gangrene|bleomycin
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.|gangrene|methotrexate
Diarrhea-associated over-anticoagulation in a patient taking warfarin: therapeutic role of cholestyramine.|Diarrhea-associated over-anticoagulation|warfarin
We present a case of significant over-anticoagulation temporally associated with a bout of protracted diarrhea in a patient on warfarin therapy.|diarrhea|warfarin
We present a case of significant over-anticoagulation temporally associated with a bout of protracted diarrhea in a patient on warfarin therapy.|over-anticoagulation|warfarin
MI related to the use of activated and non-activated PCCs predominantly affects young patients who often have no preceding history of, or risk factors for, MI and tends to be associated with large cumulative doses of concentrate.|MI|PCCs
Recombinant VIIa concentrate in the management of bleeding following prothrombin complex concentrate-related myocardial infarction in patients with haemophilia and inhibitors.|myocardial infarction|prothrombin complex concentrate
We have safely used recombinant factor VIIa to treat bleeding in the immediate and long-term period following PCC-related MI.|MI|PCC
Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.|thrombocytopenia|quinine
Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.|thrombocytopenia|quinine
Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.|thrombocytopenia|quinine
Occult quinine-induced thrombocytopenia.|thrombocytopenia|quinine
Only after three subsequent episodes of severe, symptomatic thrombocytopenia over the next four weeks did he say, upon repeat questioning, that he had continued to take quinine for night leg cramps.|thrombocytopenia|quinine
An 8-year-old child with familial Mediterranean fever exhibited signs of colchicine intoxication while receiving prophylactic doses of the drug.|colchicine intoxication|colchicine
CONCLUSION: To the best of our knowledge, this is the first time colchicine intoxication in this age group has been described in the English literature.|colchicine intoxication|colchicine
Near fatal acute colchicine intoxication in a child.|colchicine intoxication|colchicine
Near fatal acute colchicine intoxication in a child.|Near fatal|colchicine
Acute myeloid leukemia and lung cancer occurring in a chronic lymphocytic leukemia patient treated with fludarabine and autologous peripheral blood stem-cell transplantation.|Acute myeloid leukemia|fludarabine
Acute myeloid leukemia and lung cancer occurring in a chronic lymphocytic leukemia patient treated with fludarabine and autologous peripheral blood stem-cell transplantation.|lung cancer|fludarabine
We describe the exceptional development of AML and lung cancer in a patient with previously diagnosed CLL in minimal residual disease status after fludarabine treatment followed by autologous peripheral blood stem-cell transplantation.|AML|fludarabine
We describe the exceptional development of AML and lung cancer in a patient with previously diagnosed CLL in minimal residual disease status after fludarabine treatment followed by autologous peripheral blood stem-cell transplantation.|lung cancer|fludarabine
In 2 of the 3 cases the patients were also taking lithium carbonate and beta-blockers, both of which could have contributed to the incontinence.|incontinence|lithium carbonate
In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.|incontinence|paroxetine
In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.|incontinence|sertraline
In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.|incontinence|venlafaxine
This concerns 2 male patients who experienced incontinence while taking venlafaxine.|incontinence|venlafaxine
Case studies in heparin-induced thrombocytopenia.|thrombocytopenia|heparin
Major points illustrated are, (1) occurrence of HIT with any dose or form of heparin; (2) misperceptions on the diagnostic criteria; (3) correct (thrombin inhibitors) and incorrect (platelet transfusions and warfarin) management; (4) influence of management strategy on clinical outcomes; (5) severity of the syndrome; and (6) potential for both anamnestic response to heparin and disappearance of HIT antibodies over time.|HIT|heparin
Type II heparin-induced thrombocytopenia (HIT) is an immunological disorder characterized by antibodies to heparin-platelet factor 4 complexes and a high risk of thrombotic complications.|thrombocytopenia|heparin
After several unrevealing medical work-ups, he was found to have a high blood lead level (122 microg/dL); he has a history of scraping and sanding lead paint without adequate protective measures.|high blood lead level|lead
It also highlights a current major etiologic question, that is, whether and to what degree lead exposure contributes to the development of hypertension, and raises the issue of whether lead-induced hypertension constitutes a subset of hypertension that is especially amenable to therapy with dietary calcium.|hypertension|lead
It also highlights a current major etiologic question, that is, whether and to what degree lead exposure contributes to the development of hypertension, and raises the issue of whether lead-induced hypertension constitutes a subset of hypertension that is especially amenable to therapy with dietary calcium.|lead-induced hypertension|lead
Poorly controlled hypertension in a painter with chronic lead toxicity.|lead toxicity|lead
This case demonstrates an occupational activity (construction) that has now become the dominant source of lead exposure for U.S. adults, the importance of a good occupational history to suspecting and making a diagnosis, the possible outcomes of chronic lead toxicity, and the importance of preventing further exposure and using proper methods to treat acute toxicity.|lead toxicity|lead
Severe rash, including the Stevens-Johnson syndrome (SJS), is the major toxicity of nevirapine and is described in the package labeling with a prominent, boxed warning.|Severe rash|nevirapine
Severe rash, including the Stevens-Johnson syndrome (SJS), is the major toxicity of nevirapine and is described in the package labeling with a prominent, boxed warning.|SJS|nevirapine
Severe rash, including the Stevens-Johnson syndrome (SJS), is the major toxicity of nevirapine and is described in the package labeling with a prominent, boxed warning.|Stevens-Johnson syndrome|nevirapine
Stevens-Johnson syndrome caused by the antiretroviral drug nevirapine.|Stevens-Johnson syndrome|nevirapine
Though physicians treating large populations of patients with HIV are well aware of this complication, only one other report of nevirapine-associated SJS has been documented in the dermatology literature.|SJS|nevirapine
We describe 2 cases of SJS related to nevirapine use and review the literature on this newly recognized association.|SJS|nevirapine
Oral intake and acarbose were withheld and the ileus spontaneously resolved after 2 days.|ileus|acarbose
There is evidence that the angiotensin II receptor antagonist, losartan, increases urate excretion by reducing reabsorption of urate in the renal proximal tubule.|increases urate excretion|losartan
Atrial fibrillation occurring in a patient taking etanercept plus methotrexate for rheumatoid arthritis.|Atrial fibrillation|etanercept
Atrial fibrillation occurring in a patient taking etanercept plus methotrexate for rheumatoid arthritis.|Atrial fibrillation|methotrexate
A review of the literature revealed two other cases of hepatic angiosarcoma in patients after long-term cyclophosphamide treatment.|hepatic angiosarcoma|cyclophosphamide
Hepatic angiosarcoma occurring after cyclophosphamide therapy: case report and review of the literature.|Hepatic angiosarcoma|cyclophosphamide
We propose that cyclophosphamide be added to the list of exposures potentially associated with hepatic angiosarcoma.|hepatic angiosarcoma|cyclophosphamide
ARA-C is frequently associated with dermatologic toxicity, but this is only the second case of toxic epidermal necrolysis described in connection with this drug.|dermatologic toxicity|ARA-C
ARA-C is frequently associated with dermatologic toxicity, but this is only the second case of toxic epidermal necrolysis described in connection with this drug.|toxic epidermal necrolysis|ARA-C
On the fifth day after administration of a high dose of ARA-C (2 g/m2 intravenously every 12 hours), she developed bullous lesions on the hands and soles that disseminated, evolving to necrosis, sepsis, and death on the 22nd day.|bullous lesions on the hands and soles that disseminated, evolving to necrosis|ARA-C
On the fifth day after administration of a high dose of ARA-C (2 g/m2 intravenously every 12 hours), she developed bullous lesions on the hands and soles that disseminated, evolving to necrosis, sepsis, and death on the 22nd day.|death|ARA-C
On the fifth day after administration of a high dose of ARA-C (2 g/m2 intravenously every 12 hours), she developed bullous lesions on the hands and soles that disseminated, evolving to necrosis, sepsis, and death on the 22nd day.|sepsis|ARA-C
Toxic epidermal necrolysis after the use of high-dose cytosine arabinoside.|Toxic epidermal necrolysis|cytosine arabinoside
We report a fatal case of toxic epidermal necrolysis (TEN) resulting from a high dose of cytosine arabinoside (ARA-C).|TEN|ARA-C
We report a fatal case of toxic epidermal necrolysis (TEN) resulting from a high dose of cytosine arabinoside (ARA-C).|TEN|cytosine arabinoside
We report a fatal case of toxic epidermal necrolysis (TEN) resulting from a high dose of cytosine arabinoside (ARA-C).|toxic epidermal necrolysis|ARA-C
We report a fatal case of toxic epidermal necrolysis (TEN) resulting from a high dose of cytosine arabinoside (ARA-C).|toxic epidermal necrolysis|cytosine arabinoside
Quetiapine and obsessive-compulsive symptoms (OCS): case report and review of atypical antipsychotic-induced OCS.|obsessive-compulsive symptoms|Quetiapine
Quetiapine and obsessive-compulsive symptoms (OCS): case report and review of atypical antipsychotic-induced OCS.|OCS|Quetiapine
Quetiapine and obsessive-compulsive symptoms (OCS): case report and review of atypical antipsychotic-induced OCS.|OCS|Quetiapine
The first known report of quetiapine exacerbating OCS in a 43-year-old man with obsessive-compulsive disorder (OCD), trichotillomania, delusional disorder and bipolar II disorder is presented.|exacerbating OCS|quetiapine
He was diagnosed with possible serotonin syndrome; his symptoms resolved after clomipramine was stopped but before clozapine was restarted eight days later.|serotonin syndrome|clomipramine
OBJECTIVE: To report on the possible development of serotonin syndrome in a patient receiving clomipramine after clozapine was withdrawn from the treatment regimen.|serotonin syndrome|clomipramine
OBJECTIVE: To report on the possible development of serotonin syndrome in a patient receiving clomipramine after clozapine was withdrawn from the treatment regimen.|serotonin syndrome|clozapine
Possible serotonin syndrome associated with clomipramine after withdrawal of clozapine.|serotonin syndrome|clomipramine
Possible serotonin syndrome associated with clomipramine after withdrawal of clozapine.|serotonin syndrome|clozapine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|agitated|clomipramine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|agitated|clozapine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|behaving oddly|clomipramine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|behaving oddly|clozapine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|confused|clomipramine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|confused|clozapine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|shivering|clomipramine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|shivering|clozapine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|sweating profusely|clomipramine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|sweating profusely|clozapine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|tremulous|clomipramine
The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.|tremulous|clozapine
Quinine induced coagulopathy--a near fatal experience.|coagulopathy|Quinine
The cause of his bleeding was a severe thrombocytopoaenia, induced by chronic ingestion of quinine.|severe thrombocytopoaenia|quinine
Dose-dependent olanzapine-associated leukopenia: three case reports.|leukopenia|olanzapine
These cases suggest the possibility that, in some patients, leukopenia or agranulocytosis during olanzapine treatment might be dose-related.|agranulocytosis|olanzapine
These cases suggest the possibility that, in some patients, leukopenia or agranulocytosis during olanzapine treatment might be dose-related.|leukopenia|olanzapine
We report three cases of patients who developed leukopenia during olanzapine treatment.|leukopenia|olanzapine
CONCLUSION: This case illustrates a potential link between dermatologic and ocular 5-FU toxicities.|dermatologic and ocular 5-FU toxicities|5-FU
Differential diagnoses included ocular rosacea with cicatrizing conjunctivitis and 5-FU-induced ectropion.|ectropion|5-FU
DISCUSSION: Patients with 5-FU-induced ectropion experience tender, red, scaled lids, making contact lens wear difficult.|ectropion|5-FU
DISCUSSION: Patients with 5-FU-induced ectropion experience tender, red, scaled lids, making contact lens wear difficult.|tender, red, scaled lids|5-FU
Ectropion secondary to bolus injection of 5-fluorouracil.|Ectropion|5-fluorouracil
Exacerbation of 5-FU dermatologic toxicities in patients with preexisting conditions suggests the importance of aggressive ocular prophylaxis, using frequent ocular lubrication and topical steroid preparations with concurrent medical management of pre-existing dermatologic conditions.|dermatologic toxicities|5-FU
Presented is a case of acute renal failure induced by acetazolamide therapy for glaucoma.|acute renal failure|acetazolamide
Renal failure associated with acetazolamide therapy for glaucoma.|Renal failure|acetazolamide
This sulfonamide like nephropathy should be differentiated from acetazolamide-related calcium phosphate nephrolithiasis.|calcium phosphate nephrolithiasis|acetazolamide
Ischaemic colitis in a patient taking meloxicam.|Ischaemic colitis|meloxicam
Symptoms and endoscopic lesions quickly regressed within 1 week of meloxicam withdrawal.|endoscopic lesions|meloxicam
We describe a patient who presented with bloody diarrhoea after 15 mg meloxicam daily for 10 days for osteoarthritis.|bloody diarrhoea|meloxicam
We suggest that meloxicam might have intestinal toxic effects when taken in high doses, because of reduced COX-2 selectivity.|intestinal toxic effects|meloxicam
As these cases revealed, close monitoring of blood chemistry is mandatory after starting spironolactone, and patients should be advised to stop spironolactone immediately if diarrhoea develops.|diarrhoea|spironolactone
In patients with chronic heart failure, spironolactone added to conventional treatment may lead to serious and, occasionally, fatal hyperkalaemia.|serious and, occasionally, fatal hyperkalaemia|spironolactone
In some cases this seems to happen because spironolactone causes diarrhoea.|diarrhoea|spironolactone
Serious adverse events experienced by patients with chronic heart failure taking spironolactone.|Serious adverse events|spironolactone
We report a patient with advanced colonic carcinoma who was treated with concomitant chemoirradiation with oxaliplatin and developed a peculiar dermnatitis in the irradiated field after being exposed to subsequent chemotherapy with oxaliplatin.|dermnatitis|oxaliplatin
An 11-year-old boy developed a severe enteropathy 2 years after initiation of clofazimine treatment for graft-versus-host disease.|severe enteropathy|clofazimine
Clofazimine enteropathy caused by crystal deposition can be life-threatening.|enteropathy|Clofazimine
Clofazimine enteropathy caused by crystal deposition can be life-threatening.|life-threatening|Clofazimine
Clofazimine enteropathy in a pediatric bone marrow transplant recipient.|enteropathy|Clofazimine
She developed a severe urticarial rash 3 weeks following initiation of therapy with Enoxaparin.|severe urticarial rash|Enoxaparin
We cared for a patient with progressive renal impairment who presented with blurred vision, QRS broadening and cardiac failure due to chronic cibenzoline intoxication.|blurred vision|cibenzoline
We cared for a patient with progressive renal impairment who presented with blurred vision, QRS broadening and cardiac failure due to chronic cibenzoline intoxication.|cardiac failure|cibenzoline
We cared for a patient with progressive renal impairment who presented with blurred vision, QRS broadening and cardiac failure due to chronic cibenzoline intoxication.|cibenzoline intoxication|cibenzoline
We cared for a patient with progressive renal impairment who presented with blurred vision, QRS broadening and cardiac failure due to chronic cibenzoline intoxication.|QRS broadening|cibenzoline
Indolent aspergillus arthritis complicating fludarabine-based non-myeloablative stem cell transplantation.|aspergillus arthritis|fludarabine
We describe two patients with aspergillus arthritis of the knee joint following fludarabine-based non-myeloablative stem cell transplantation.|aspergillus arthritis of the knee joint|fludarabine
CONCLUSION: The present findings suggest that fluvoxamine can cause increased libido in some patients.|increased libido|fluvoxamine
Increased libido in a woman treated with fluvoxamine: a case report.|Increased libido|fluvoxamine
OBJECTIVE: The aim of this paper is to describe a case of increased libido during fluvoxamine therapy.|increased libido|fluvoxamine
RESULTS: The patient, a 27-year-old married Japanese woman with borderline personality disorder, developed an increased libido with the administration of fluvoxamine.|increased libido|fluvoxamine
The increased libido disappeared after fluvoxamine was discontinued.|increased libido|fluvoxamine
An infant who developed pancreatitis during meglumine antimoniate treatment for visceral leishmaniasis and who was successfully treated with a combination of allopurinol and ketoconazole is reported.|pancreatitis|meglumine antimoniate
Successful treatment of visceral leishmaniasis with allopurinol plus ketoconazole in an infant who developed pancreatitis caused by meglumine antimoniate.|pancreatitis|meglumine antimoniate
CONCLUSIONS: This case report showed that the clinical appearance of Hashimoto's disease after IFN-alpha therapy for chronic C hepatitis in our patient was associated with a specific genetic predisposition (DR5) for this pathology.|Hashimoto's disease|IFN-alpha
Further studies are necessary to evaluate whether the study of HLA antigens may be a very useful tool to detect the patients with a predisposition to develop autoimmune thyroiditis, in order to make a early diagnosis of thyroid disorders during the IFN-alpha treatment.|autoimmune thyroiditis|IFN-alpha
Further studies are necessary to evaluate whether the study of HLA antigens may be a very useful tool to detect the patients with a predisposition to develop autoimmune thyroiditis, in order to make a early diagnosis of thyroid disorders during the IFN-alpha treatment.|thyroid disorders|IFN-alpha
Hashimoto's disease during interferon-alpha therapy in a patient with pre-treatment negative anti-thyroid autoantibodies and with the specific genetic susceptibility to the thyroid disease.|Hashimoto's disease|interferon-alpha
OBJECTIVES: The authors described a case of Hashimoto's disease during interferon-alpha (IFN-alpha) treatment for chronic viral C hepatitis in a patient with the specific genetic susceptibility associated with the thyroid disease.|Hashimoto's disease|IFN-alpha
OBJECTIVES: The authors described a case of Hashimoto's disease during interferon-alpha (IFN-alpha) treatment for chronic viral C hepatitis in a patient with the specific genetic susceptibility associated with the thyroid disease.|Hashimoto's disease|interferon-alpha
During dose-finding studies for intravenous proton pump inhibitors omeprazole and pantoprazole, three of six young female volunteers receiving omeprazole and two young female volunteers receiving pantoprazole developed peripheral edema within 8 hr when high doses of the proton pump inhibitors were applied by continuous infusion together with large volumes of fluid.|peripheral edema|omeprazole
During dose-finding studies for intravenous proton pump inhibitors omeprazole and pantoprazole, three of six young female volunteers receiving omeprazole and two young female volunteers receiving pantoprazole developed peripheral edema within 8 hr when high doses of the proton pump inhibitors were applied by continuous infusion together with large volumes of fluid.|peripheral edema|pantoprazole
Pheripheral edema was observed in five female patients after taking proton pump inhibitors omeprazole, lansoprazole, or pantoprazole for 7-15 days for peptic acid diseases in recommended standard doses.|Pheripheral edema|lansoprazole
Pheripheral edema was observed in five female patients after taking proton pump inhibitors omeprazole, lansoprazole, or pantoprazole for 7-15 days for peptic acid diseases in recommended standard doses.|Pheripheral edema|omeprazole
Pheripheral edema was observed in five female patients after taking proton pump inhibitors omeprazole, lansoprazole, or pantoprazole for 7-15 days for peptic acid diseases in recommended standard doses.|Pheripheral edema|pantoprazole
Motor fluctuations appear after 2-3 years of levodopa treatment, and affect at least 50% of patients after five years.|Motor fluctuations|levodopa
CONCLUSION: Significant weight loss is a potential adverse event in patients with rheumatoid arthritis treated with leflunomide.|weight loss|leflunomide
Leflunomide-associated weight loss in rheumatoid arthritis.|weight loss|Leflunomide
METHODS: We queried 35 rheumatologists at the Robert Breck Brigham Arthritis Center to determine if weight loss had occurred as an adverse event in patients treated with leflunomide between November 1998 and January 2000.|weight loss|leflunomide
OBJECTIVE: To determine the frequency of weight loss in patients treated with leflunomide for rheumatoid arthritis at an arthritis referral center.|weight loss|leflunomide
RESULTS: Five of 70 patients who had begun leflunomide therapy had significant weight loss that could not be linked to other identifiable etiologies.|weight loss|leflunomide
It is increasingly recognized that dose adjustment of oral valacyclovir in renal failure is necessary to avoid neurotoxicity.|neurotoxicity|valacyclovir
Neurotoxicity of valacyclovir in peritoneal dialysis: a pharmacokinetic study.|Neurotoxicity|valacyclovir
She developed neurotoxicity with an adjustment dosage of valacyclovir for a cutaneous zoster infection.|neurotoxicity|valacyclovir
Avascular necrosis of the femoral head in patients with prostate cancer treated with cyproterone acetate and radiotherapy.|Avascular necrosis of the femoral head|cyproterone acetate
We report the case histories of two patients with histologically confirmed adenocarcinoma of the prostate, both of whom had been treated with steroidal anti-androgen therapy in the form of cyproterone acetate prior to radical or palliative pelvic irradiation, and who subsequently developed femoral head avascular necrosis.|femoral head avascular necrosis|cyproterone acetate
Levofloxacin induced polymorphic ventricular tachycardia with normal QT interval.|polymorphic ventricular tachycardia|Levofloxacin
We report the first case of polymorphic ventricular tachycardia with normal QT interval associated with the oral use of levofloxacin in the absence of other etiologies known to cause these arrhythmias.|polymorphic ventricular tachycardia|levofloxacin
So far, few cases of pulmonary side effects caused by ticlopidine have been reported.|pulmonary side effects|ticlopidine
Special care should be taken when pulmonary symptoms appear in association with ticlopidine treatment.|pulmonary symptoms|ticlopidine
Ticlopidine-induced interstitial pulmonary disease: a case report.|interstitial pulmonary disease|Ticlopidine
We report a case of interstitial pulmonary disease that occurred together with lymphocytic colitis during treatment with ticlopidine.|interstitial pulmonary disease|ticlopidine
We report a case of interstitial pulmonary disease that occurred together with lymphocytic colitis during treatment with ticlopidine.|lymphocytic colitis|ticlopidine
A patient that received methadone for cancer-associated pain developed myoclonus as a side effect.|myoclonus|methadone
Methadone-induced myoclonus in advanced cancer.|myoclonus|Methadone
OBJECTIVE: To report a case of fatal hyperkalemia owing to succinylcholine administration in a patient with mucositis secondary to chemotherapy.|fatal hyperkalemia|succinylcholine
Succinylcholine-induced hyperkalemia in a patient with mucositis secondary to chemotherapy.|hyperkalemia|Succinylcholine
We believe that mucositis was a contributing factor to this case of fatal hyperkalemia after administration of succinylcholine, with a mechanism similar to that reported with thermal injury.|fatal hyperkalemia|succinylcholine
Cutaneous seeding after ultrasound-guided percutaneous ethanol injection for treatment of hepatocellular carcinoma.|Cutaneous seeding|ethanol injection
We describe a case of needle-track cutaneous seeding of hepatocellular carcinoma (HCC) after sonographically guided percutaneous ethanol injection (PEI).|cutaneous seeding|ethanol injection
Adenosine-induced ventricular fibrillation.|ventricular fibrillation|Adenosine
However, adenosine shortens the antegrade refractoriness of accessory atrioventricular connections and may cause acceleration of the ventricular rate during atrial fibrillation.|acceleration of the ventricular rate|adenosine
We observed ventricular fibrillation in 2 patients who presented to the emergency department with pre-excited atrial fibrillation and were given 12 mg of adenosine.|ventricular fibrillation|adenosine
After the dose of methylprednisolone was reduced from 40 mg to 20 mg i.v. q6h and shifted to other anti-asthma treatment by procaterol metered dose inhaler via spacer, the psychotic reaction disappeared a few hours later.|psychotic reaction|methylprednisolone
Continuous EEG monitoring is helpful in managing seizures that occur as a complication of CBZ OD, after the course of recovery or worsening, and in providing assistance with prognosis.|seizures|CBZ
Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.|cortical hyperexcitability|CBZ
Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.|cranial nerve areflexia|CBZ
Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.|profound burst-suppression EEG pattern|CBZ
Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia.|reversible encephalopathy|CBZ
Massive plasmocytosis due to methimazole-induced bone marrow toxicity.|bone marrow toxicity|methimazole
Massive plasmocytosis due to methimazole-induced bone marrow toxicity.|Massive plasmocytosis|methimazole
To our knowledge this is the first report of pancytopenia due to MMI, where the usual hypoplasia found is replaced by massive plasmocytosis.|massive plasmocytosis|MMI
To our knowledge this is the first report of pancytopenia due to MMI, where the usual hypoplasia found is replaced by massive plasmocytosis.|pancytopenia|MMI
We report a case of fulminant hepatic failure associated with didanosine and masquerading as a surgical abdomen and compare the clinical, biologic, histologic, and ultrastructural findings with reports described previously.|fulminant hepatic failure|didanosine
This report details a case of bilateral avascular necrosis of the femoral heads in a patient receiving 'standard' doses of dexamethasone as part of the antiemetic regimen used in cisplatin-based combination chemotherapy.|bilateral avascular necrosis of the femoral heads|dexamethasone
Although no coagulation study was done and the Meckel's diverticulum is normally associated with bleeding, the particular intensity of the following hemorrhage may have been favored by metformin.|hemorrhage|metformin
An obese patient, not diabetic, treated with metformin for some weeks, was referred to us with severe inferior digestive hemorrhage, diagnosed with Meckel's diverticulum.|severe inferior digestive hemorrhage|metformin
Digestive hemorrhage caused by a Meckel's diverticulum in a metformin-treated patient: is there any connection?|Digestive hemorrhage|metformin
Ulcer became worse after tobramycin and gentamycin treatment for 2 days.|Ulcer became worse|gentamycin
